Channel,Group,Source,Link
CCTV-1HD,cctv,山东移动SNM[中兴],http://223.99.189.25:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00002013/index.m3u8
CCTV-1HD,cctv,山东移动SNM[中兴CDN],http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00000311/index.m3u8
CCTV-1HD,cctv,山东移动SNM[中兴CDN],http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00002013/index.m3u8
CCTV-1HD,cctv,陕西移动[CDN],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV-1HD,cctv,陕西移动[CDN],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8
CCTV-2,cctv,北京移动[CDN],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225934/1.m3u8
CCTV-2,cctv,北京移动[CDN],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226457/1.m3u8
CCTV-2,cctv,贵州移动[CDN],http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225706/1/index.m3u8?fmt=ts2hls
CCTV-2,cctv,合肥电信[爱上],http://117.71.37.17/live.aishang.ctlcdn.com/00000110240002_1/playlist.m3u8?CONTENTID=00000110240002_1
CCTV-2,cctv,河南科技大学[v6],http://hdtv.haust.edu.cn/hls/hls2.m3u8
CCTV-2,cctv,江苏移动[CDN],http://183.207.248.205/ott.js.chinamobile.com/PLTV/3/224/3221225881/index.m3u8
CCTV-2,cctv,江西移动[CDN],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225572/index.m3u8?fmt=ts2hls
CCTV-2,cctv,拉萨移动,http://117.136.154.98/PLTV/88888888/224/3221225584/index.m3u8
CCTV-2,cctv,拉萨移动,http://117.136.154.98/PLTV/88888888/224/3221225795/index.m3u8
CCTV-2,cctv,山东移动SNM[CDN],http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000002/index.m3u8
CCTV-2,cctv,山东移动SNM[东营],http://39.137.76.32:8089/00/SNM/CHANNEL00000002/index.m3u8
CCTV-2,cctv,山东移动SNM[中兴],http://223.99.189.25:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000002/index.m3u8
CCTV-2,cctv,山东移动SNM[中兴CDN],http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00000002/index.m3u8
CCTV-2,cctv,陕西移动[CDN],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225762/index.m3u8
CCTV-2HD,cctv,北京移动[CDN],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226230/1.m3u8
CCTV-2HD,cctv,北京移动[CDN],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226371/1.m3u8
CCTV-2HD,cctv,北京移动[CDN],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226472/1.m3u8
CCTV-2HD,cctv,合肥电信[爱上],http://117.71.37.17/live.aishang.ctlcdn.com/00000110240244_1/playlist.m3u8?CONTENTID=00000110240244_1
CCTV-2HD,cctv,河南科技大学[v6],http://hdtv.haust.edu.cn/hls/hls135.m3u8
CCTV-2HD,cctv,河南科技大学[v6],http://hdtv.haust.edu.cn/hls/hls74a3.m3u8
CCTV-2HD,cctv,江苏移动[CDN],http://183.207.248.203/ott.js.chinamobile.com/PLTV/3/224/3221226993/index.m3u8
CCTV-2HD,cctv,江苏移动[CDN],http://183.207.248.208/ott.js.chinamobile.com/PLTV/3/224/3221227207/index.m3u8
CCTV-2HD,cctv,江苏移动[CDN],http://223.110.245.142/ott.js.chinamobile.com/PLTV/3/224/3221227708/index.m3u8
CCTV-2HD,cctv,江苏移动[CDN],http://183.207.249.167/ott.js.chinamobile.com/PLTV/3/224/3221227427/index.m3u8
CCTV-2HD,cctv,江苏移动[CDN],http://223.110.245.164/ott.js.chinamobile.com/PLTV/3/224/3221227696/index.m3u8
CCTV-2HD,cctv,江苏移动[CDN],http://183.207.248.133/ott.js.chinamobile.com/PLTV/3/224/3221227543/index.m3u8
CCTV-2HD,cctv,江西移动[CDN],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225619/index.m3u8
CCTV-2HD,cctv,江西移动[CDN],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225500/index.m3u8?fmt=ts2hls
CCTV-2HD,cctv,江西移动[CDN],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225643/index.m3u8
CCTV-2HD,cctv,拉萨移动,http://117.136.154.98/PLTV/88888888/224/3221225502/index.m3u8
CCTV-2HD,cctv,山东移动SNM[CDN],http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000317/index.m3u8
CCTV-2HD,cctv,山东移动SNM[东营],http://39.137.76.32:8089/00/SNM/CHANNEL00000317/index.m3u8
CCTV-2HD,cctv,山东移动SNM[中兴],http://223.99.189.25:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000317/index.m3u8
CCTV-2HD,cctv,山东移动SNM[中兴CDN],http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00000317/index.m3u8
CCTV-2HD,cctv,陕西移动[CDN],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV-3,cctv,北京移动[CDN],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226456/1.m3u8
CCTV-3,cctv,合肥电信[爱上],http://117.71.37.17/live.aishang.ctlcdn.com/00000110240259_1/playlist.m3u8?CONTENTID=00000110240259_1
CCTV-3,cctv,江苏移动,http://183.207.249.5/PLTV/3/224/3221225588/index.m3u8
CCTV-3,cctv,江苏移动,http://183.207.249.6/PLTV/3/224/3221225588/index.m3u8
CCTV-3,cctv,江苏移动,http://183.207.249.9/PLTV/3/224/3221225588/1.m3u8
CCTV-3,cctv,江苏移动[CDN],http://183.207.249.208/ott.js.chinamobile.com/PLTV/3/224/3221226360/index.m3u8
CCTV-3,cctv,山东移动SNM[CDN],http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000003/index.m3u8
CCTV-3,cctv,山东移动SNM[东营],http://39.137.76.32:8089/00/SNM/CHANNEL00000003/index.m3u8
CCTV-3,cctv,山东移动SNM[中兴],http://223.99.189.25:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000003/index.m3u8
CCTV-3,cctv,山东移动SNM[中兴CDN],http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00000003/index.m3u8
CCTV-3,cctv,陕西移动[CDN],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225782/index.m3u8
CCTV-3,cctv,陕西移动[CDN],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226398/index.m3u8
CCTV-3HD,cctv,北京移动[CDN],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226471/1.m3u8
CCTV-3HD,cctv,贵州移动[CDN],http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226040/1/index.m3u8?fmt=ts2hls
CCTV-3HD,cctv,贵州移动[CDN],http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226008/1/index.m3u8?fmt=ts2hls
CCTV-3HD,cctv,合肥电信[爱上],http://117.71.37.17/live.aishang.ctlcdn.com/00000110240245_1/playlist.m3u8?CONTENTID=00000110240245_1
CCTV-3HD,cctv,黑龙江移动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-3HD,cctv,江苏移动,http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221226360/index.m3u8
CCTV-3HD,cctv,江苏移动,http://183.207.249.14/PLTV/3/224/3221225588/index.m3u8
CCTV-3HD,cctv,江苏移动,http://183.207.249.71/PLTV/3/224/3221225588/index.m3u8
CCTV-3HD,cctv,江苏移动[CDN],http://183.207.248.139/ott.js.chinamobile.com/PLTV/3/224/3221225588/index.m3u8
CCTV-3HD,cctv,江苏移动[CDN],http://183.207.248.231/ott.js.chinamobile.com/PLTV/3/224/3221227481/index.m3u8
CCTV-3HD,cctv,江苏移动[CDN],http://183.207.248.142/ott.js.chinamobile.com/PLTV/3/224/3221227295/index.m3u8
CCTV-3HD,cctv,江苏移动[CDN],http://223.110.243.154/ott.js.chinamobile.com/PLTV/3/224/3221227650/index.m3u8
CCTV-3HD,cctv,江苏移动[CDN],http://183.207.248.236/ott.js.chinamobile.com/PLTV/3/224/3221227424/index.m3u8
CCTV-3HD,cctv,江苏移动[CDN],http://183.207.248.171/ott.js.chinamobile.com/PLTV/3/224/3221227623/index.m3u8
CCTV-3HD,cctv,江苏移动[CDN],http://183.207.249.174/ott.js.chinamobile.com/PLTV/3/224/3221227546/index.m3u8
CCTV-3HD,cctv,江西移动,http://117.169.120.140:8080/live/cctv-3/.m3u8
CCTV-3HD,cctv,江西移动[CDN],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225647/index.m3u8
CCTV-3HD,cctv,江西移动[CDN],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225634/index.m3u8
CCTV-3HD,cctv,南宁移动,http://39.135.32.29:6610/000000001000/1000000001000011218/index.m3u8?i
CCTV-3HD,cctv,陕西移动[CDN],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
CCTV-4,cctv,北京移动[CDN],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226156/1.m3u8
CCTV-4,cctv,北京移动[CDN],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226455/1.m3u8
CCTV-4,cctv,合肥电信[爱上],http://117.71.37.17/live.aishang.ctlcdn.com/00000110240005_1/playlist.m3u8?CONTENTID=00000110240005_1
CCTV-4,cctv,江苏移动,http://183.207.249.6/PLTV/3/224/3221225534/index.m3u8
CCTV-4,cctv,江苏移动,http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221225781/index.m3u8
CCTV-4,cctv,江苏移动[CDN],http://183.207.248.202/ott.js.chinamobile.com/PLTV/3/224/3221225781/index.m3u8
CCTV-4,cctv,江西移动,http://223.82.250.72/live/cctv-4/1.m3u8
CCTV-4,cctv,江西移动[CDN],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225571/index.m3u8?fmt=ts2hls
CCTV-4,cctv,拉萨移动,http://117.136.154.98/PLTV/88888888/224/3221225581/index.m3u8
CCTV-4,cctv,拉萨移动,http://117.136.154.98/PLTV/88888888/224/3221225784/index.m3u8
CCTV-4,cctv,山东移动SNM[CDN],http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000004/index.m3u8
CCTV-4,cctv,山东移动SNM[东营],http://39.137.76.32:8089/00/SNM/CHANNEL00000004/index.m3u8
CCTV-4,cctv,山东移动SNM[中兴],http://223.99.189.25:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000004/index.m3u8
CCTV-4,cctv,山东移动SNM[中兴CDN],http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00000004/index.m3u8
CCTV-4,cctv,陕西移动[CDN],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225781/index.m3u8
CCTV-4HD,cctv,北京移动[CDN],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226335/1.m3u8
CCTV-4HD,cctv,北京移动[CDN],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226470/1.m3u8
CCTV-4HD,cctv,贵州移动[CDN],http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225779/1/index.m3u8?fmt=ts2hls
CCTV-4HD,cctv,贵州移动[CDN],http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226129/1/index.m3u8?fmt=ts2hls
CCTV-4HD,cctv,贵州移动[CDN],http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225744/1/index.m3u8?fmt=ts2hls
CCTV-4HD,cctv,河南科技大学[v6],http://hdtv.haust.edu.cn/hls/hls4.m3u8
CCTV-4HD,cctv,河南科技大学[v6],http://hdtv.haust.edu.cn/hls/hls68a40.m3u8
CCTV-4HD,cctv,江苏移动[CDN],http://183.207.249.137/ott.js.chinamobile.com/PLTV/3/224/3221227378/index.m3u8
CCTV-4HD,cctv,江苏移动[CDN],http://183.207.248.201/ott.js.chinamobile.com/PLTV/3/224/3221225534/index.m3u8
CCTV-4HD,cctv,江苏移动[CDN],http://183.207.249.138/ott.js.chinamobile.com/PLTV/3/224/3221227683/index.m3u8
CCTV-4HD,cctv,江苏移动[CDN],http://223.110.245.142/ott.js.chinamobile.com/PLTV/3/224/3221227658/index.m3u8
CCTV-4HD,cctv,江苏移动[CDN],http://183.207.249.169/ott.js.chinamobile.com/PLTV/3/224/3221227489/index.m3u8
CCTV-4HD,cctv,江苏移动[CDN],http://183.207.248.230/ott.js.chinamobile.com/PLTV/3/224/3221227549/index.m3u8
CCTV-4HD,cctv,江西移动,http://117.169.120.140:8080/live/cctv-4/.m3u8
CCTV-4HD,cctv,江西移动[CDN],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225621/index.m3u8
CCTV-4HD,cctv,拉萨移动,http://117.136.154.86/PLTV/88888888/224/3221225501/index.m3u8
CCTV-4HD,cctv,山东移动SNM[CDN],http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000320/index.m3u8
CCTV-4HD,cctv,山东移动SNM[东营],http://39.137.76.32:8089/00/SNM/CHANNEL00000320/index.m3u8
CCTV-4HD,cctv,山东移动SNM[中兴],http://223.99.189.25:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000320/index.m3u8
CCTV-4HD,cctv,山东移动SNM[中兴CDN],http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00000320/index.m3u8
CCTV-4HD,cctv,陕西移动[CDN],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV-4HD,cctv,陕西移动[CDN],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226223/index.m3u8
CCTV-5,cctv,北京移动[CDN],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226454/1.m3u8
CCTV-5,cctv,合肥电信[爱上],http://117.71.37.17/live.aishang.ctlcdn.com/00000110240260_1/playlist.m3u8?CONTENTID=00000110240260_1
CCTV-5,cctv,江苏移动[CDN],http://183.207.249.207/ott.js.chinamobile.com/PLTV/3/224/3221226362/index.m3u8
CCTV-5,cctv,江苏移动[CDN],http://183.207.248.203/ott.js.chinamobile.com/PLTV/3/224/3221226945/index.m3u8
CCTV-5,cctv,江西移动[CDN],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225751/index.m3u8
CCTV-5,cctv,江西移动[CDN],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225752/index.m3u8
CCTV-5,cctv,江西移动[CDN],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225753/index.m3u8
CCTV-5,cctv,江西移动[CDN],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225754/index.m3u8
CCTV-5,cctv,江西移动[CDN],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225755/index.m3u8
CCTV-5,cctv,江西移动[CDN],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225756/index.m3u8
CCTV-5,cctv,陕西移动[CDN],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225780/index.m3u8
CCTV-5,cctv,陕西移动[CDN],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226396/index.m3u8
CCTV-5,cctv,陕西移动[CDN],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225837/index.m3u8
CCTV-5+HD,cctv,北京移动[CDN],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226225/1.m3u8
CCTV-5+HD,cctv,北京移动[CDN],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226349/1.m3u8
CCTV-5+HD,cctv,北京移动[CDN],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226458/1.m3u8
CCTV-5+HD,cctv,合肥电信[爱上],http://117.71.37.17/live.aishang.ctlcdn.com/00000110240128_1/playlist.m3u8?CONTENTID=00000110240128_1
CCTV-5+HD,cctv,河南科技大学[v6],http://hdtv.haust.edu.cn/hls/hls73a6.m3u8
CCTV-5+HD,cctv,河南科技大学[v6],http://hdtv.haust.edu.cn/hls/hls92.m3u8
CCTV-5+HD,cctv,江苏移动,http://223.110.245.139:80/PLTV/4/224/3221227480/index.m3u8
CCTV-5+HD,cctv,江苏移动[CDN],http://183.207.248.107/ott.js.chinamobile.com/PLTV/3/224/3221227381/index.m3u8
CCTV-5+HD,cctv,江苏移动[CDN],http://183.207.248.230/ott.js.chinamobile.com/PLTV/3/224/3221225604/index.m3u8
CCTV-5+HD,cctv,江苏移动[CDN],http://183.207.249.229/ott.js.chinamobile.com/PLTV/3/224/3221227522/index.m3u8
CCTV-5+HD,cctv,江苏移动[CDN],http://223.110.245.142/ott.js.chinamobile.com/PLTV/3/224/3221227685/index.m3u8
CCTV-5+HD,cctv,江苏移动[CDN],http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221227714/index.m3u8
CCTV-5+HD,cctv,江苏移动[CDN],http://183.207.249.133/ott.js.chinamobile.com/PLTV/3/224/3221227463/index.m3u8
CCTV-5+HD,cctv,江苏移动[CDN],http://223.110.243.165/ott.js.chinamobile.com/PLTV/3/224/3221227631/index.m3u8
CCTV-5+HD,cctv,江苏移动[CDN],http://183.207.248.139/ott.js.chinamobile.com/PLTV/3/224/3221227480/index.m3u8
CCTV-5+HD,cctv,江苏移动[CDN],http://183.207.248.231/ott.js.chinamobile.com/PLTV/3/224/3221227502/index.m3u8
CCTV-5+HD,cctv,江西移动,http://223.82.250.72/live/hdcctv05plus/1.m3u8
CCTV-5+HD,cctv,江西移动[CDN],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225649/index.m3u8
CCTV-5+HD,cctv,江西移动[CDN],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225706/index.m3u8
CCTV-5+HD,cctv,拉萨移动,http://117.136.154.98/PLTV/88888888/224/3221225512/index.m3u8
CCTV-5+HD,cctv,宁夏广电,http://httpdvb.slave.nx96200.cn:13164/playurl?playtype=live&protocol=hls&accesstoken=R601F51ABU30989182K7769060BI183360DFPBM3222C25V1020DZ9C465W16615682404EF1EB&playtoken=31648YBGNZQKEGQ10&rate=org&programid=4200900120.m3u8
CCTV-5+HD,cctv,山东移动SNM[CDN],http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000316/index.m3u8
CCTV-5+HD,cctv,山东移动SNM[东营],http://39.137.76.32:8089/00/SNM/CHANNEL00000316/index.m3u8
CCTV-5+HD,cctv,山东移动SNM[中兴],http://223.99.189.25:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000316/index.m3u8
CCTV-5+HD,cctv,山东移动SNM[中兴CDN],http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00000316/index.m3u8
